id;code;exp_3;parentid
1ZE2;11В-06;Светильники;1ZE4
1ZD2;09Н;Бизнес-аксессуары;0
1ZE3;11В-07;Телефоны и факсы;1ZE4
1ZDE;10Н-03;Сумки для обуви и прочие сумки;1ZDB
VVP;03В-03;Тетради общие обложка б/в;1Z76
ECT;03В-02;Тетради школьные цветная обложка 12-24л.;1Z76
1ZE1;11В-02;Расходные материалы для принтеров и копиров;1ZE4
2H75;15Н-6;Посуда, все для кухни;2H6P
1ZE5;11Н-03;Брошюровщики, ламинаторы, резаки, уничтож. бумаг;1ZE4
2H76;15-Н-7;Продукты;2H6P
20UT;05Н-21;Игры;1ZBB
2CFU;05Н-20;Корзины для бумаг;1Z9C
1ZE0;11В-01;Копиры, принтеры, мфу;1ZE4
1ZBQ;08В-14;Гравюры;1ZBB
1ZD3;09Н-01;Портфели, папки из натуральной кожи;1ZD2
1ZD7;09Н-07;Визитницы, обложки для документов, ключницы из кожзамам;1ZD2
1ZD6;09Н-06;Визитницы, обложки  для документов, ключницы из кожи;1ZD2
1ZD5;09Н-03;Портфели, папки, сумки из ткани;1ZD2
1ZD4;09Н-02;Портфели,папки из кожзаменителя;1ZD2
ED8;04Н-24;Паркер;1Z8X
2BNM;04Н-25;Тубусы;1Z8X
ECA;04Н-22;Маркеры и текстовыделители.;1Z8X
ED5;04Н-23;Точилки для карандашей;1Z8X
1Z9A;04Н-20;Треугольники и транспортиры;1Z8X
1Z9B;04Н-21;Чертёжные наборы, трафареты;1Z8X
1ZD9;09В-04;Портмоне, барсетки из натуральной кожи;1ZD2
1ZDG;10Н-05;Папки для труда;1ZDB
1ZDA;09В-05;Портмоне, барсетки из кожзаменителя;1ZD2
1Z8B;02В-15;Планинги и еженедельники недатированные;1Z8M
1Z8A;02В-14;Планинги и еженедельники датированные;1Z8M
1Z8D;02В-17;Книги и журналы учёта;1Z8M
1Z8C;02В-16;Книги телефонные;1Z8M
1Z87;02В-11;Ежедневники датированные;1Z8M
1ZHM;08В-19;Детские книжки;1ZBB
1Z89;02В-13;Ежедневники полудатированные;1Z8M
1Z88;02В-12;Ежедневники недатированные;1Z8M
1ZBM;08Н-18;Конструкторы;1ZBB
1Z8E;02В-19;Календари трёхблочные;1Z8M
1ZH4;02Н-18;Конверты и пакеты;1Z8M
1Z9J;05Н-07;Зажимы;1Z9C
1Z9I;05Н-06;Скобы, кнопки, скрепки и булавки;1Z9C
1Z9H;05Н-05;Ножи канцелярские и лезвия к ним;1Z9C
1Z9G;05Н-04;Ножницы;1Z9C
1Z9F;05Н-03;Степлеры №24;1Z9C
1Z9E;05Н-02;Степлеры №10 и антистеплеры;1Z9C
1Z9D;05Н-01;Дыроколы;1Z9C
1ZBS;08В-16;Наборы для творчества;1ZBB
1ZBR;08В-15;Вырезалки;1ZBB
1Z9L;05Н-09;Корректирующие средства;1Z9C
1Z9K;05Н-08;Клей и клей-карандаш;1Z9C
1Z8M;02Н;Бумажная продукция для офиса;0
1Z76;03Н;Бумажная продукция для школы и детей;0
